"SMI","lambda1 (sTDA, nm)","F1 (sTDA)","lamda1  (TD-DFT, nm)","F1 (TD-DFT)","lambda_max (Exp,  nm)","extinction (Lmol-1cm-1)","solvent"
CC(c1ccc2c(c1)c1cc(ccc1n2c1ccc2c(c1)ccc(n2)Nc1ccc2c(n1)ccc(c2)n1c2ccc(cc2c2c1ccc(c2)C(C)(C)C)C(C)(C)C)C(C)(C)C)(C)C,NaN,NaN,NaN,NaN,466,NaN,NaN
[Co+2],NaN,NaN,NaN,NaN,0,NaN,NaN
O=P(c1ccccc1)(c1ccccc1)c1cccc(c1)N(c1ccc(c2c1cccc2)N(c1cccc2c1cccc2)c1ccccc1)c1ccccc1,NaN,NaN,NaN,NaN,270,NaN,NaN
O=P(c1ccccc1)(c1ccccc1)c1ccc(cc1)N(c1ccc(c2c1cccc2)N(c1cccc2c1cccc2)c1ccccc1)c1ccccc1,NaN,NaN,NaN,NaN,268,NaN,NaN
[N-]=[N+]=[N-],NaN,NaN,NaN,NaN,254,NaN,NaN
O=S(=O)(c1ccc(cc1)c1ccc(cc1)n1c2ccccc2c2c1cccc2)c1ccc(cc1)c1ccc(cc1)c1nc2c(n1c1ccc(cc1)C(C)(C)C)c1ccccc1c1c2cccc1,NaN,NaN,NaN,NaN,262,NaN,NaN
C1(C)c2cc(ccc2c2c1cccc2)C#Cc1cc(C#Cc2ccc3c(c2)C(C)(C)c2c3cccc2)c2c3c1ccc1c3c(cc2)c(cc1C#Cc1ccc2c(c1)C(C)(C)c1c2cccc1)C#Cc1ccc2c(c1)C(C)(C)c1c2cccc1,NaN,NaN,NaN,NaN,488,80900,NaN
C1(C)c2cc(C#Cc3cc(C#Cc4ccc5c(c4)C(C)(C)c4c5ccc(c4)[N+](=O)[O-])c4c5c3ccc3c5c(cc4)c(cc3C#Cc3ccc4c(c3)C(C)(C)c3c4ccc(c3)[N+](=O)[O-])C#Cc3ccc4c(c3)C(C)(C)c3c4ccc(c3)[N+](=O)[O-])ccc2c2c1cc(cc2)[N+](=O)[O-],NaN,NaN,NaN,NaN,495,77100,NaN
C1(C)c2cc(ccc2c2c1cc(cc2)c1cccc(c1)C(=C(c1ccc(cc1)Br)C#N)c1ccccc1)c1cccc(c1)C(=C(c1ccc(cc1)Br)C#N)c1ccccc1,NaN,NaN,NaN,NaN,361,NaN,NaN
CC1=CC2(OC(C1)C(C=CC1(C)CCC3(O1)CCC1C(O3)C(O)C(=C)C(O1)C(CC(C1CC3(CCCOC3)COC1C)C)O)C)OC(C)(CCC2O)CC(C(=O)O)(O)C.[K],NaN,NaN,NaN,NaN,281,NaN,water
C=CC(=C[C@@]1(C)SC(=C(C1=O)C)O)C,NaN,NaN,NaN,NaN,358,NaN,silica
CCCO,NaN,NaN,NaN,NaN,430,NaN,Water
[NH3+]Cc1c2ccccc2cc2c1cccc2.[Cl-],NaN,NaN,NaN,NaN,438,NaN,NaN
CC#N,NaN,NaN,NaN,NaN,406,NaN,NaN
CCCCCCC,NaN,NaN,NaN,NaN,440,NaN,Cl
COC(=O)[C](C)C,NaN,NaN,NaN,NaN,531,NaN,NaN
ClC=C,NaN,NaN,NaN,NaN,535,NaN,NaN
ClCCN(P1(=O)NCCCO1)CCCl,NaN,NaN,NaN,NaN,520,NaN,NaN
PS,NaN,NaN,NaN,NaN,529,NaN,NaN
[Zn][I]I,NaN,NaN,NaN,NaN,691,85113.80382,NaN
[GaH2][I][I]I,NaN,NaN,NaN,NaN,704,141253.7545,NaN
[O-]C(=O)c1ccccc1c1c2cc(Br)c(c(c2oc2c1cc(Br)c(=O)c2Br)Br)[O-].[Na+].[Na+],NaN,NaN,NaN,NaN,516,NaN,NaN
Nc1cc2c(cc1C)nc1c([n+]2c2ccccc2)ccc(c1C)N.[Cl-],NaN,NaN,NaN,NaN,520,NaN,NaN
OC(=O)CS,NaN,NaN,NaN,NaN,550,NaN,NaN
NC(C(=O)O)CS,NaN,NaN,NaN,NaN,530,NaN,NaN
OC(=O)CCS,NaN,NaN,NaN,NaN,500,NaN,NaN
[Ga],NaN,NaN,NaN,NaN,730,NaN,NaN
[Al],NaN,NaN,NaN,NaN,725,NaN,NaN
CPN[I]Cl,NaN,NaN,NaN,NaN,686,NaN,NaN
FP,NaN,NaN,NaN,NaN,436,NaN,NaN
CCCCCC(=O)N,NaN,NaN,NaN,NaN,616,NaN,NaN
CCCCCCNC(=O)CCCCC(=O)N,NaN,NaN,NaN,NaN,616,NaN,NaN
c1ccc(cc1)n1c[n+]([n+](n1)c1ccc(cc1)c1ccc(cc1)n1n[n+](c[n+]1c1ccccc1)c1ccccc1)c1ccccc1.[Cl].[Cl],NaN,NaN,NaN,NaN,645,NaN,NaN
c1ccc(nc1)N(c1ccccn1)Cc1cc(CN(c2ccccn2)c2ccccn2)c(cc1CN(c1ccccn1)c1ccccn1)CN(c1ccccn1)c1ccccn1,NaN,NaN,NaN,NaN,304,NaN,NaN
CC(C[N+](C)(C)C)OC(=O)N.[Cl-],NaN,NaN,NaN,NaN,476,NaN,NaN
Cc1cc(c(s1)C)C1=C(CC(C1=O)[n+]1ccccc1)c1cc(sc1C)C.[Br-],NaN,NaN,NaN,NaN,339,NaN,NaN
[CH-]1C=CC=C1.Cc1cc(c(s1)C)C1=C(CC(=C[C-]2C=CC=C2)C1=O)c1cc(sc1C)C.[Fe+2],NaN,NaN,NaN,NaN,500,NaN,NaN
[Nd],NaN,NaN,NaN,NaN,288,NaN,NaN
[Yb],NaN,NaN,NaN,NaN,290,NaN,NaN
[Er],NaN,NaN,NaN,NaN,289,NaN,NaN
[Gd],NaN,NaN,NaN,NaN,287,NaN,NaN
ClC([N+](=O)[O-])(Cl)Cl,NaN,NaN,NaN,NaN,365,NaN,NaN
[SH3],NaN,NaN,NaN,NaN,612,NaN,NaN
ClC(Cl)Cl,NaN,NaN,NaN,NaN,508,NaN,NaN
[C-4],NaN,NaN,NaN,NaN,530,NaN,NaN
C[N+](CCCCCCCCCC[N+](C)(C)C)(C)C.[Br],NaN,NaN,NaN,NaN,493,NaN,NaN
OC(=O)CN1C(=S)SCC1=O,NaN,NaN,NaN,NaN,400,NaN,quartz
CC(=N[Si](C)(C)C)O[Si](C)(C)C,NaN,NaN,NaN,NaN,278,NaN,NaN
COO,NaN,NaN,NaN,NaN,687,NaN,NaN
CCCCCCCCCCCCCCCC(=O)OC[C@@H](OC(=O)CCCCCCCCCCCCCCC)COP(=O)(OCC[N+](C)(C)C)O,NaN,NaN,NaN,NaN,384,NaN,NaN
CCCCCCCCCCCCCCCCCC[N+](CCCCCCCCCCCCCCCCCC)(C)C.[Br-],NaN,NaN,NaN,NaN,386,NaN,NaN
CCCCCCCCCCCCCCCC(=O)OCC(OC(=O)CCCCCCCCCCCCCCC)COP(=O)(OCC(CO)O)O,NaN,NaN,NaN,NaN,383,NaN,NaN
ClC(Cl)(Cl)Cl,NaN,NaN,NaN,NaN,402,NaN,Acetonitrile
PC=S,NaN,NaN,NaN,NaN,687,NaN,PBS
CC(=CC=CC=C(C=CC=C(C=CC=C(CCC=C(C)C)C)C)C)C=CC=C(C=CC=C(CCC=C(C)C)C)C,NaN,NaN,NaN,NaN,506,NaN,NaN
[Zn+2],NaN,NaN,NaN,NaN,673,NaN,DMF
Cl,NaN,NaN,NaN,NaN,495,NaN,NaN
CCCCCCCCCCO,NaN,NaN,NaN,NaN,365,NaN,NaN
NC1CCCC(=C1)C(=O)O,NaN,NaN,NaN,NaN,637.46,NaN,NaN
[O-]C(=O)[C@H](Cc1cc(I)c(c(c1)I)Oc1ccc(c(c1)I)O)N.[Na+],NaN,NaN,NaN,NaN,672.01,NaN,NaN
O=C(N[C@H](C(=O)NCC(=O)O)CSc1cc(Br)cc(c1O)O)CC[C@@H](C(=O)O)N,NaN,NaN,NaN,NaN,627.77,NaN,NaN
[NH2-],NaN,NaN,NaN,NaN,400.4,NaN,Benzene
CC=O,NaN,NaN,NaN,NaN,297,NaN,NaN
[O-]S(=O)(=O)c1ccc(cc1)C1=C2C=CC(=N2)C(=c2ccc(=C(C3=NC(=C(c4[nH]c1cc4)c1ccc(cc1)S(=O)(=O)[O-])C=C3)c1ccc(cc1)S(=O)(=O)[O-])[nH]2)c1ccc(cc1)S(=O)(=O)[O-],NaN,NaN,NaN,NaN,704,NaN,NaN
CCSC(=N)N,NaN,NaN,NaN,NaN,595,19500,NaN
O=C1C=CC(=Nc2cc(Cl)c(c(c2)Cl)[O-])C=C1.O.[Na+],NaN,NaN,NaN,NaN,629,NaN,NaN
OC(=O)[C@@H]1CC(=CC=[N+]2CCC[C@H]2C(=O)[O-])C=C(N1)C(=O)O,NaN,NaN,NaN,NaN,482,NaN,NaN
C[I]I,NaN,NaN,NaN,NaN,498,73200,NaN
Br,NaN,NaN,NaN,NaN,441,26300,NaN
c1ccccc1,NaN,NaN,NaN,NaN,652,NaN,Dimethylsulfoxide
[SeH2],NaN,NaN,NaN,NaN,343,NaN,NaN
COc1c(OC)cc(c(c1[n+]1c(cc(cc1c1ccccc1)c1ccccc1)c1ccccc1)OC)OC,NaN,NaN,NaN,NaN,310,NaN,NaN
CCCCCCCCCCCC[N+](C)(C)C.[Cl-],NaN,NaN,NaN,NaN,536,NaN,NaN
OCCS,NaN,NaN,NaN,NaN,485,NaN,NaN
[O-]S(=O)(=O)c1ccc2c(c1)c(c1ccccc1)c1c(c2c2ccccc2)cc(cc1)S(=O)(=O)[O-],NaN,NaN,NaN,NaN,268,NaN,NaN
[O-]S(=O)(=O)c1ccc2c(c1)c(c1ccccc1)c1c(c2c2ccccc2)ccc(c1)S(=O)(=O)[O-],NaN,NaN,NaN,NaN,268,NaN,NaN
ClC=CC1=C(C)CC(C(C1)Cl)(C)Cl,NaN,NaN,NaN,NaN,721,NaN,PVC
NN1CCCCC1,NaN,NaN,NaN,NaN,366,NaN,NaN
CC1CCCCC1,NaN,NaN,NaN,NaN,284.3,NaN,Ethanol
CNC=O,NaN,NaN,NaN,NaN,592,NaN,NaN
CC(=CCOP(=O)(OP(=O)(O)O)O)C,NaN,NaN,NaN,NaN,479,NaN,NaN
CCOCC,NaN,NaN,NaN,NaN,458,NaN,Methanol
C[n+]1ccccc1C=Cc1ccccc1.[I-],NaN,NaN,NaN,NaN,347,NaN,NaN
NCCCN,NaN,NaN,NaN,NaN,453,NaN,NaN
O[C@@H]1CC[C@]2([C@@H](C1)CC([C@@H]1[C@@H]2CC[C@]2([C@H]1CC[C@@H]2[C@@H](CCC(=O)N)C)C)O)C,NaN,NaN,NaN,NaN,284,NaN,NaN
CP,NaN,NaN,NaN,NaN,405,NaN,NaN
NP,NaN,NaN,NaN,NaN,402,NaN,NaN
O=[Nb]12O[Nb](=O)(O1)O2.O=[Mg].O=[Pb].O=[Pb].O=[Pb],NaN,NaN,NaN,NaN,397,NaN,NaN
CCCCCCCCCCCCCC(=O)O[C@@H]1[C@@H](C)[C@@]2(O)[C@H]([C@H]3[C@]1(OC(=O)C)C3(C)C)C=C(C[C@]1([C@H]2C=C(C1=O)C)O)CO,NaN,NaN,NaN,NaN,363,NaN,NaN
C=CCOC1CC(C)(C)NC(C1)(C)C,NaN,NaN,NaN,NaN,278,NaN,NaN
CCOC(=O)c1ccccc1c1c2cc(C)c(cc2[o+]c2c1cc(C)c(c2)NCC)NCC.[Cl-],NaN,NaN,NaN,NaN,492.5,NaN,NaN
[O-]P(=O)(O)O.CC[Hg+],NaN,NaN,NaN,NaN,515,NaN,NaN
[O-]P1(=O)OP(=O)([O-])OP(=O)([O-])OP(=O)(OP(=O)(OP(=O)(O1)[O-])[O-])[O-].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+],NaN,NaN,NaN,NaN,492,NaN,NaN
NPOP,NaN,NaN,NaN,NaN,707,NaN,Toluene
NPOPOP,NaN,NaN,NaN,NaN,708,NaN,Toluene
P[P][Pt],NaN,NaN,NaN,NaN,571,NaN,NaN
CP[I]SO,NaN,NaN,NaN,NaN,369,NaN,NaN
CN(c1ccc(cc1)[C+](c1ccc(cc1)N(C)C)c1ccccc1)C.[Cl-],NaN,NaN,NaN,NaN,615,NaN,NaN
N#CC(=CC1=C2N(CCC1)c1c(C2(C)C)cccc1)C#N,NaN,NaN,NaN,NaN,449,NaN,Hexane
N#CC(=CC=CC1=C2N(CCC1)c1c(C2(C)C)cccc1)C#N,NaN,NaN,NaN,NaN,538,NaN,EtOH
N#CC(=CC=CC=CC1=C2N(CCC1)c1c(C2(C)C)cccc1)C#N,NaN,NaN,NaN,NaN,636,NaN,Hexane
CCN1C(=O)C(=CC2=C3N(CCC2)c2c(C3(C)C)cccc2)C(=O)N(C1=S)CC,NaN,NaN,NaN,NaN,508,NaN,EtOH
CCN1C(=O)C(=CC=CC2=C3N(CCC2)c2c(C3(C)C)cccc2)C(=O)N(C1=S)CC,NaN,NaN,NaN,NaN,599,NaN,EtOH
CCN1C(=O)C(=CC=CC=CC2=C3N(CCC2)c2c(C3(C)C)cccc2)C(=O)N(C1=S)CC,NaN,NaN,NaN,NaN,702,NaN,EtOH
[S][P][P][Ru],NaN,NaN,NaN,NaN,580,NaN,NaN
NCCO,NaN,NaN,NaN,NaN,592,NaN,Ethanol
[Cd],NaN,NaN,NaN,NaN,713,NaN,Toluene
CC1(C)C2CCC1(C)CC2,NaN,NaN,NaN,NaN,637.4,NaN,NaN
[Ca+2],NaN,NaN,NaN,NaN,305,NaN,NaN
CC1=NCCN1,NaN,NaN,NaN,NaN,290,NaN,NaN
c1nccs1,NaN,NaN,NaN,NaN,295,NaN,NaN
C[n+]1cnc2c(c1N)[nH]cn2,NaN,NaN,NaN,NaN,427,NaN,NaN
CCCCCCCCCCCCCCCCOP(=O)(OCC[N+](C)(C)C)O,NaN,NaN,NaN,NaN,515,NaN,NaN
CC(=C)C(=O)OCCO,NaN,NaN,NaN,NaN,604,NaN,NaN
CCC=C.C=C,NaN,NaN,NaN,NaN,260,NaN,NaN
[Cl],NaN,NaN,NaN,NaN,646,NaN,NaN
O[C@@H]1CN(C)[C@H]([C@H]([C@H]1O)O)C,NaN,NaN,NaN,NaN,350,NaN,NaN
c1ccc2c(c1)Cc1c2cccc1C1=C2C=CC(=N2)C(=c2ccc(=C(C3=NC(=C(c4[nH]c1cc4)c1cccc4c1Cc1c4cccc1)C=C3)c1cccc3c1Cc1c3cccc1)[nH]2)c1cccc2c1Cc1c2cccc1,NaN,NaN,NaN,NaN,272,NaN,NaN
[2H][2H],NaN,NaN,NaN,NaN,362,NaN,NaN
CCCCCCCCCCCC,NaN,NaN,NaN,NaN,467,NaN,NaN
IN[I][I]I,NaN,NaN,NaN,NaN,713,NaN,NaN
Cc1ccc(cc1)S(=O)(=O)O.O=NC(=NNC=c1cccc[nH]1)N,NaN,NaN,NaN,NaN,404,NaN,NaN
CSC1=C(SC)SC(=c2c3cc(C=CC=Cc4ccc(cc4)[N+](=O)[O-])ccc3c(=C3SC(=C(S3)SC)SC)c3c2cccc3)S1,NaN,NaN,NaN,NaN,480,NaN,NaN
CSC1=C(SC)SC(=c2c3cc(C=CC=CC=Cc4ccc(cc4)[N+](=O)[O-])ccc3c(=C3SC(=C(S3)SC)SC)c3c2cccc3)S1,NaN,NaN,NaN,NaN,490,NaN,NaN
CSC1=C(SC)SC(=c2c3cc(C=Cc4ccc(s4)C=Cc4ccc(cc4)[N+](=O)[O-])ccc3c(=C3SC(=C(S3)SC)SC)c3c2cccc3)S1,NaN,NaN,NaN,NaN,500,NaN,NaN
CCCc1c(CCC)c(CCC)c2c(c1CCC)cc(cc2)c1ccc(s1)c1ccc(s1)c1ccc2c(c1)c(CCC)c(c(c2CCC)CCC)CCC,NaN,NaN,NaN,NaN,399,52480.74603,NaN
N#Cc1cc(Cl)c(cc1C#N)Cl,NaN,NaN,NaN,NaN,706,NaN,NaN
C1COO1,NaN,NaN,NaN,NaN,549,NaN,NaN
COC(=O)CCC1=C(C)C2=Cc3[nH]c(c(c3CC)C)C(=C3N=C(C=c4[nH]c(=CC1=N2)c(CCC(=O)OC)c4C)C(=C3C)CC)c1cc(OC)cc(c1)OC,NaN,NaN,NaN,NaN,823,127000,PhCN
CN(c1cccc2c1cccc2C#Cc1cccc2c1cccc2C#Cc1cccc2c1cccc2C#CC#Cc1cccc2c1cccc2C#Cc1cccc2c1cccc2C#Cc1cccc2c1cccc2N(C)C)C,NaN,NaN,NaN,NaN,526,62800,NaN
CN(c1cccc2c1cccc2C#Cc1cccc2c1cccc2C#Cc1ccc(cc1)C#Cc1cccc2c1cccc2C#Cc1cccc2c1cccc2N(C)C)C,NaN,NaN,NaN,NaN,528,60300,NaN
CN(c1cccc2c1cccc2C#Cc1cccc2c1cccc2C#Cc1cccc2c1cccc2C#Cc1ccc(cc1)C#Cc1cccc2c1cccc2C#Cc1cccc2c1cccc2C#Cc1cccc2c1cccc2N(C)C)C,NaN,NaN,NaN,NaN,529,87500,NaN
COc1c(OC)c2sc1C(=C1C=CC(=N1)C(=c1sc(=C(C3=NC(=C2c2ccccc2)C=C3)c2ccccc2)c(c1OC)OC)c1ccccc1)c1ccccc1,NaN,NaN,NaN,NaN,703,251188.6432,NaN
COc1c2sc(c1OC)C(=C1C=CC(=N1)C(=c1sc(=C(C3=NC(=C2c2ccccc2)C=C3)c2ccccc2)c(OC)c1OC)c1ccccc1)c1ccccc1,NaN,NaN,NaN,NaN,705,109647.8196,NaN
COc1c2sc(c1OC)C(=C1C=CC(=N1)C(=c1sc(=C(C3=NC(=C2c2ccccc2)C=C3)c2ccccc2)c(OC)c1OC)c1ccccc1)c1ccccc1,NaN,NaN,NaN,NaN,705,138038.4265,NaN
COc1c2sc(c1OC)C(=C1C=CC(=N1)C(=c1sc(=C(C3=NC(=C2c2ccccc2)C=C3)c2ccccc2)c(OC)c1OC)c1ccccc1)c1ccccc1,NaN,NaN,NaN,NaN,705,173780.0829,NaN
c1ccc(cc1)N(c1ccc2c(c1)C(Cc1ccc(cc1)N(c1ccccc1)c1ccccc1)(Cc1ccc(cc1)N(c1ccccc1)c1ccccc1)c1c2ccc(c1)N(c1ccccc1)c1ccccc1)c1ccccc1,NaN,NaN,NaN,NaN,366,NaN,NaN
c1ccc(cc1)N(c1cccc2c1cccc2)c1ccc2c(c1)C(Cc1ccc(cc1)N(c1cccc3c1cccc3)c1ccccc1)(Cc1ccc(cc1)N(c1cccc3c1cccc3)c1ccccc1)c1c2ccc(c1)N(c1cccc2c1cccc2)c1ccccc1,NaN,NaN,NaN,NaN,364,NaN,NaN
CCC1(CC)c2cc(ccc2c2c1cccc2)N(c1ccc2c(c1)C(Cc1ccc(cc1)N(c1ccc3c(c1)C(CC)(CC)c1c3cccc1)c1ccccc1)(Cc1ccc(cc1)N(c1ccc3c(c1)C(CC)(CC)c1c3cccc1)c1ccccc1)c1c2ccc(c1)N(c1ccc2c(c1)C(CC)(CC)c1c2cccc1)c1ccccc1)c1ccccc1,NaN,NaN,NaN,NaN,337,NaN,NaN
c1ccc(cc1)N(c1ccc2c3c1ccc1c3c(cc2)ccc1)c1ccc2c(c1)C(Cc1ccc(cc1)N(c1ccc3c4c1ccc1c4c(cc3)ccc1)c1ccccc1)(Cc1ccc(cc1)N(c1ccc3c4c1ccc1c4c(cc3)ccc1)c1ccccc1)c1c2ccc(c1)N(c1ccc2c3c1ccc1c3c(cc2)ccc1)c1ccccc1,NaN,NaN,NaN,NaN,378,NaN,NaN
CCn1c2ccc(cc2c2c1cccc2)N(c1ccc2c(c1)C(Cc1ccc(cc1)N(c1ccc3c(c1)c1ccccc1n3CC)c1ccccc1)(Cc1ccc(cc1)N(c1ccc3c(c1)c1ccccc1n3CC)c1ccccc1)c1c2ccc(c1)N(c1ccc2c(c1)c1ccccc1n2CC)c1ccccc1)c1ccccc1,NaN,NaN,NaN,NaN,375,NaN,NaN
C=C,NaN,NaN,NaN,NaN,557,NaN,NaN
CC=C,NaN,NaN,NaN,NaN,562,NaN,NaN
C#Cc1c(C#Cc2ccccc2C#Cc2ccc(s2)C#Cc2ccccc2C#Cc2cc(cc(c2C#C)[Si](C)(C)C)[Si](C)(C)C)cc(cc1[Si](C)(C)C)[Si](C)(C)C,NaN,NaN,NaN,NaN,447,78900,NaN
C[Si](C#Cc1cc(C#Cc2ccccc2C#Cc2ccccc2C#Cc2ccc(s2)C#Cc2ccccc2C#Cc2ccccc2C#Cc2cc(C#C[Si](C)(C)C)cc(c2)C#C[Si](C)(C)C)cc(c1)C#C[Si](C)(C)C)(C)C,NaN,NaN,NaN,NaN,454,113000,NaN
O=C(c1cc(=O)c2c(o1)cccc2)NCCC[N+](C)(C)C.[I-],NaN,NaN,NaN,NaN,304,NaN,NaN
COc1ccc2c(c1)oc(cc2=O)C(=O)NCCC[N+](C)(C)C.[I-],NaN,NaN,NaN,NaN,304,NaN,NaN
COc1ccc2c(c1)c(=O)cc(o2)C(=O)NCCC[N+](C)(C)C.[I-],NaN,NaN,NaN,NaN,333,NaN,NaN
COc1cccc2c1c(=O)cc(o2)C(=O)NCCC[N+](C)(C)C.[I-],NaN,NaN,NaN,NaN,319,NaN,NaN
COc1ccc(cc1)C1=C2C=CC(=N2)C(=c2ccc(=C(C3=NC(=C(c4[nH]c1cc4)c1cc(cc(c1)C(C)(C)C)C(C)(C)C)C=C3)c1cc(cc(c1)C(C)(C)C)C(C)(C)C)[nH]2)c1cc(cc(c1)C(C)(C)C)C(C)(C)C,NaN,NaN,NaN,NaN,419,NaN,THF
FC1(F)C(=C(C(C1(F)F)(F)F)c1ccc2c(c1)C1(c3c2cccc3)c2ccccc2c2c1cccc2)c1ccc2c(c1)C1(c3c2cccc3)c2ccccc2c2c1cccc2,NaN,NaN,NaN,NaN,328,NaN,NaN
NCCCC[C@@H](C(=O)OC)NC(=O)C.Cl,NaN,NaN,NaN,NaN,348,NaN,Acetonitrile
OC[C@@H](C(=O)OC)NC(=O)OC(C)(C)C,NaN,NaN,NaN,NaN,350,NaN,DMF
CN(c1cccc2c1cccc2C#Cc1cccc2c1cccc2C#Cc1cc(C#Cc2cccc3c2cccc3C#Cc2cccc3c2cccc3N(C)C)cc(c1)C#Cc1cccc2c1cccc2C#Cc1cccc2c1cccc2N(C)C)C,NaN,NaN,NaN,NaN,527,10650,NaN
CN(c1cccc2c1cccc2C#Cc1cccc2c1cccc2C#Cc1cccc2c1cccc2C#Cc1cc(C#Cc2cccc3c2cccc3C#Cc2cccc3c2cccc3C#Cc2cccc3c2cccc3N(C)C)cc(c1)C#Cc1cccc2c1cccc2C#Cc1cccc2c1cccc2C#Cc1cccc2c1cccc2N(C)C)C,NaN,NaN,NaN,NaN,530,96800,NaN
CCn1c2ccc(cc2c2c1ccc(c2)C=Cc1ccc2c(c1)c1cc(ccc1n2CC)N(c1cccc(c1)C)c1ccccc1)N(c1cccc(c1)C)c1ccccc1,NaN,NaN,NaN,NaN,347,NaN,NaN
CCn1c2ccc(cc2c2c1ccc(c2)N(c1cccc2c1cccc2)c1ccccc1)C=Cc1ccc2c(c1)c1cc(ccc1n2CC)N(c1cccc2c1cccc2)c1ccccc1,NaN,NaN,NaN,NaN,344,NaN,NaN
CCn1c2ccc(cc2c2c1ccc(c2)N(c1ccc2c3c1ccc1c3c(cc2)ccc1)c1ccccc1)C=Cc1ccc2c(c1)c1cc(ccc1n2CC)N(c1ccc2c3c1ccc1c3c(cc2)ccc1)c1ccccc1,NaN,NaN,NaN,NaN,356,NaN,NaN
COc1ccc(cc1)N(c1ccc2c3c1ccc1c3c(cc2)ccc1)c1ccc2c(c1)c1cc(C=Cc3ccc4c(c3)c3cc(ccc3n4CC)N(c3ccc4c5c3ccc3c5c(cc4)ccc3)c3ccc(cc3)OC)ccc1n2CC,NaN,NaN,NaN,NaN,361,NaN,NaN
COC(=O)CC[C@H]([C@H]1CC[C@@H]2[C@]1(C)[C@H](C[C@H]1[C@H]2[C@@H](C[C@H]2[C@]1(C)CC[C@H](C2)C(=O)C)C(=O)c1ccc2c3c1ccc1c3c(cc2)ccc1)C(=O)c1ccc2c3c1ccc1c3c(cc2)ccc1)C,NaN,NaN,NaN,NaN,385,NaN,NaN
CCOc1c(F)c(F)c(c(c1F)F)c1c2cc3n(c(=O)n2c(=O)c1C)c(c(c3C)S(=O)(=O)[O-])C.[Na+],NaN,NaN,NaN,NaN,444,NaN,NaN
[OH-],NaN,NaN,NaN,NaN,515,NaN,EtOH
CC(C(=O)[O-])C,NaN,NaN,NaN,NaN,628,NaN,EtOH
[Cl-],NaN,NaN,NaN,NaN,634,NaN,EtOH
[O-]C(=O)C,NaN,NaN,NaN,NaN,634,NaN,EtOH
[O-]C(=O)c1ccccc1,NaN,NaN,NaN,NaN,634,NaN,EtOH
C1(C)c2cc(C#Cc3ccc4c(c3)c3cc(C#Cc5ccc6c(c5)C(C)(C)c5c6ccc(c5)C#Cc5ccc6c(c5)C(C)(C)c5c6ccc(c5)C#Cc5ccc6c(c5)C(C)(C)c5c6cccc5)ccc3n4c3ccc(cc3)C)ccc2c2c1cc(C#Cc1ccc3c(c1)C(C)(C)c1c3ccc(c1)C#Cc1ccc3c(c1)C(C)(C)c1c3cccc1)cc2,NaN,NaN,NaN,NaN,405,NaN,NaN
C1(C)c2cc(C#Cc3ccc4c(c3)C(C)(C)c3c4ccc(c3)C#Cc3ccc(cc3)n3c4ccc(cc4c4c3ccc(c4)C#Cc3ccc4c(c3)C(C)(C)c3c4ccc(c3)C#Cc3ccc4c(c3)C(C)(C)c3c4ccc(c3)C#Cc3ccc4c(c3)C(C)(C)c3c4cccc3)C#Cc3ccc4c(c3)C(C)(C)c3c4ccc(c3)C#Cc3ccc4c(c3)C(C)(C)c3c4ccc(c3)C#Cc3ccc4c(c3)C(C)(C)c3c4cccc3)ccc2c2c1cc(C#Cc1ccc3c(c1)C(C)(C)c1c3cccc1)cc2,NaN,NaN,NaN,NaN,404,NaN,NaN
O=C1c2cc(ccc2c2c1cc(cc2)C#Cc1ccc(cc1)C#Cc1ccc(cc1)C#C[Si](C)(C)C)C#Cc1ccc(cc1)C#Cc1ccc(cc1)C#C[Si](C)(C)C,NaN,NaN,NaN,NaN,531,NaN,NaN
C1(C)c2cc(ccc2c2c1cc(cc2)n1c2ccccc2c2c1cccc2)c1ccc(s1)c1ccc2c(c1)C(C)(C)c1c2ccc(c1)n1c2ccccc2c2c1cccc2,NaN,NaN,NaN,NaN,382,NaN,NaN
C1(C)c2cc(ccc2c2c1cc(cc2)n1c2ccccc2c2c1cccc2)c1ccc(s1)c1ccc(s1)c1ccc2c(c1)C(C)(C)c1c2ccc(c1)n1c2ccccc2c2c1cccc2,NaN,NaN,NaN,NaN,411,NaN,NaN
C1(C)c2cc(ccc2c2c1cc(cc2)n1c2ccccc2c2c1cccc2)c1ccc(s1)c1ccc(s1)c1ccc(s1)c1ccc2c(c1)C(C)(C)c1c2ccc(c1)n1c2ccccc2c2c1cccc2,NaN,NaN,NaN,NaN,430,NaN,NaN
C1(C)c2cc(ccc2c2c1cc(cc2)n1c2ccccc2c2c1cccc2)c1ccc(s1)c1ccc(s1)c1ccc(s1)c1ccc(s1)c1ccc2c(c1)C(C)(C)c1c2ccc(c1)n1c2ccccc2c2c1cccc2,NaN,NaN,NaN,NaN,446,NaN,NaN
O=C(CCc1ccc[n+](c1)C)OCCCc1c[nH]c2ccccc2ncc(c[nH]c2c(nc1)cccc2)CCCOC(=O)CCc1ccc[n+](c1)C.O.O.[Br-].[Br-],NaN,NaN,NaN,NaN,447,NaN,NaN
c1cc[n+](cc1)CCCc1c[nH]c2ccccc2ncc(c[nH]c2c(nc1)cccc2)CCC[n+]1ccccc1.O.O.O.[Br-].[Br-],NaN,NaN,NaN,NaN,427,NaN,NaN
